Estabelecimento,CodigoEstabelecimento,UnidadeOrganica,CodigoUnidadeOrganica,Natureza,TipoEnsino,NomeCurso,CodigoCurso,Grau,NumeroDiplomadosCurso,AmostraAceite,NumeroDiplomadosDesempregados,TaxaDesempregoRegistadoCurso,AnosLetivosDiplomados,Fonte
Universidade Fernando Pessoa,2750,Universidade Fernando Pessoa,2750,Privado,Universitário,Criminologia,9066,Licenciatura,61,Sim,42,"68,9",2009/10_2012/13,DGEEC
Universidade Lusíada de Vila Nova de Famalicão,2402,Universidade Lusíada de Vila Nova de Famalicão,2402,Privado,Universitário,Arquitectura,9257,Mestrado Integrado,105,Sim,54,"51,4",2009/10_2012/13,DGEEC
Escola Superior Artística do Porto,4010,Escola Superior Artística do Porto,4010,Privado,Universitário,Arquitectura,9257,Mestrado Integrado,132,Sim,63,"47,7",2009/10_2012/13,DGEEC
Universidade Fernando Pessoa,2750,Escola Superior de Saúde,2752,Privado,Politécnico,Análises Clínicas e de Saúde Pública,9497,Licenciatura,46,Sim,21,"45,7",2009/10_2012/13,DGEEC
Universidade Lusófona do Porto,4032,Universidade Lusófona do Porto,4032,Privado,Universitário,Arquitectura,9257,Mestrado Integrado,36,Sim,15,"41,7",2009/10_2012/13,DGEEC
Universidade Portucalense Infante D. Henrique,2500,Universidade Portucalense Infante D. Henrique,2500,Privado,Universitário,Educação Social,9084,Licenciatura,112,Sim,45,"40,2",2009/10_2012/13,DGEEC
Instituto Superior Politécnico Gaya,4440,Escola Superior de Desenvolvimento Social e Comunitário,4441,Privado,Politécnico,Turismo,9254,Licenciatura,33,Sim,13,"39,4",2009/10_2012/13,DGEEC
Escola Superior de Tecnologias de Fafe,4115,Escola Superior de Tecnologias de Fafe,4115,Privado,Politécnico,Informática de Gestão,9186,Licenciatura,34,Sim,13,"38,2",2009/10_2012/13,DGEEC
Universidade Católica Portuguesa,2200,Faculdade de Ciências Sociais,2221,Privado,Universitário,Serviço Social,9238,Licenciatura,230,Sim,86,"37,4",2009/10_2012/13,DGEEC
Universidade de Trás-os-Montes e Alto Douro,1200,Escola de Ciências Humanas e Sociais,1202,Público,Universitário,Línguas e Relações Empresariais,9196,Licenciatura,74,Sim,26,"35,1",2009/10_2012/13,DGES
